dialogue_id,group,source_quality_flag,source_quality_issue,turn_id,turn,speaker_id,n_chars,n_words,lexical_entropy,mattr,surprisal_mean,surprisal_sent_max,sem_dist_partner,sem_dist_self,CR01_avg,CR02_avg,CR03_avg,cr_turn_composite,ct_analysis,ct_evaluation,ct_reasoning,ct_composite,CR01_R1,CR01_R2,CR02_R1,CR02_R2,CR03_R1,CR03_R2,CT01_R1,CT01_R2,CT02_R1,CT02_R2,CT03_R1,CT03_R2,self_novelty,delta_surprisal,peak_break,sem_dist_partner_truncate,sem_dist_self_truncate,self_novelty_truncate,self_novelty_z,delta_surprisal_z
AI024,AI,False,none,AI024_T12,12,S02,93,50,3.6019848151974556,0.9926829268292684,2.814686273702925,3.4181781454011797,0.237769950074318,0.4413594191975626,2.5,2.0,1.5,6.0,4.0,3.0,4.0,3.67,3.0,2.0,2.0,2.0,2.0,1.0,4,4,3,3,4,4,0.3317706987401712,-0.2793183524946241,-0.4878598537162046,0.237769950074318,0.4413594191975626,0.3317706987401712,-0.6896668075623348,-1.2341740190556507
AI024,AI,False,none,AI024_T14,14,S02,108,54,3.762945664239642,0.9888888888888888,2.8863381643539365,3.347003127718645,0.3378085178061051,0.3871105610198189,2.5,3.0,2.0,7.5,3.5,3.5,4.0,3.67,3.0,2.0,3.0,3.0,2.0,2.0,4,3,4,3,4,4,0.3562092666680272,0.0716518906510117,-0.4162079630651929,0.3378085178061051,0.3871105610198189,0.3562092666680272,-0.2697172092299419,0.204881690728475
AI024,AI,False,none,AI024_T16,16,S02,109,54,3.650567412605492,0.971111111111111,2.8368331757990464,2.969430334866047,0.2545049481605446,0.3833424196094558,2.5,2.0,1.0,5.5,4.0,3.0,4.0,3.67,3.0,2.0,2.0,2.0,1.0,1.0,4,4,3,3,4,4,0.2911864798170001,-0.0495049885548901,-0.4657129516200831,0.2545049481605446,0.3833424196094558,0.2911864798170001,-1.3870614538334427,-0.2918883409363778
AI024,AI,False,none,AI024_T18,18,S02,114,59,3.686777190233218,0.956,2.9824845238265545,3.1562814017136893,0.2495179255859611,0.3244101497474939,2.5,2.5,3.0,8.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4,4,4,4,4,4,0.3244101497474939,0.1456513480275081,-0.3200616035925749,0.2495179255859611,0.3244101497474939,0.3244101497474939,-0.8161496523061718,0.5082958511545662
AI024,AI,False,none,AI024_T20,20,S02,105,54,3.886295575370208,0.9888888888888888,3.0316521596452812,4.860334075987339,0.3662490971096319,0.4616860172914441,2.5,2.0,3.0,7.5,2.0,2.5,2.0,2.17,3.0,2.0,2.0,2.0,3.0,3.0,2,2,3,2,2,2,0.3907986100806235,0.0491676358187267,-0.2708939677738482,0.3662490971096319,0.4616860172914441,0.3907986100806235,0.3246621715742809,0.11269126738476488
AI028,AI,False,none,AI028_T1,1,S01,234,122,4.213822391004241,0.9575221238938054,2.2838460530075952,4.130347754519719,,,3.0,3.0,2.0,8.0,2.5,2.0,3.0,2.5,3.0,3.0,3.0,3.0,2.0,2.0,2,3,2,2,3,3,,,,,,,,
AI028,AI,False,none,AI028_T3,3,S01,274,145,4.082288989501946,0.9308823529411764,1.9782341109609585,2.7320919515270936,0.0757371911374853,0.1322143613713096,3.0,3.0,1.0,7.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,4,4,4,4,4,4,0.1322143613713096,-0.305611942046637,-0.305611942046637,0.0757371911374853,0.1322143613713096,0.1322143613713096,-0.15479570477153579,-0.29248055908482634
AI028,AI,False,none,AI028_T5,5,S01,305,165,4.0325268497808375,0.928846153846154,1.9766171408713145,2.404778763821179,0.0596486362135325,0.075056491090688,3.0,2.5,2.0,7.5,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4,4,4,4,4,4,0.075056491090688,-0.001616970089644,-0.307228912136281,0.0596486362135325,0.075056491090688,0.075056491090688,-1.2859107098984226,0.03933232839198097
AI028,AI,False,none,AI028_T7,7,S01,252,134,4.086707895767535,0.9704,1.7541756001648738,2.102312601986341,0.081346894840485,0.1466027727627386,3.0,2.5,1.0,6.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3,3,3,3,3,3,0.1273603372762789,-0.2224415407064404,-0.5296704528427214,0.081346894840485,0.1466027727627386,0.1273603372762789,-0.2508535085731956,-0.20169941608223815
AI028,AI,False,none,AI028_T9,9,S01,46,27,2.968391891541963,0.9555555555555556,3.8759460703090385,3.8759460703090385,0.2437526517617074,0.2889569703824646,1.0,2.0,1.5,4.5,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2,2,2,2,2,2,0.2303243947464622,2.1217704701441646,1.5921000173014432,0.2437526517617074,0.2889569703824646,0.2303243947464622,1.7867344879963105,2.3570263127373656
AI028,AI,False,none,AI028_T11,11,S01,141,71,3.8426956545419353,0.9774193548387096,2.7458968581191674,3.0858291354961693,0.1497637403906826,0.2327732046356001,3.0,3.0,1.0,7.0,3.5,3.0,4.0,3.5,3.0,3.0,3.0,3.0,1.0,1.0,4,3,3,3,4,4,0.1037045390396274,-1.130049212189871,-1.130049212189871,0.1497637403906826,0.2327732046356001,0.1037045390396274,-0.7189855123088619,-1.1923602820574293
